conf,ca_rmsd,siip_volume,regime,pdb_file
0,0.000,281.8,closed,ladder/lad_00.pdb
1,0.129,289.2,closed,ladder/lad_01.pdb
2,0.259,280.5,closed,ladder/lad_02.pdb
3,0.388,291.5,closed,ladder/lad_03.pdb
4,0.518,286.5,closed,ladder/lad_04.pdb
5,0.647,392.6,transition,ladder/lad_05.pdb
6,0.776,405.2,transition,ladder/lad_06.pdb
7,0.906,400.7,transition,ladder/lad_07.pdb
8,1.035,718.4,open,ladder/lad_08.pdb
9,1.165,731.9,open,ladder/lad_09.pdb
10,1.294,720.4,open,ladder/lad_10.pdb
11,1.424,687.5,open,ladder/lad_11.pdb
