conf,target_ca_rmsd,switch2_rmsd,siip_volume,max_disp
0,0.000,,283.664,0.00
1,0.062,0.14613150470267053,280.399,0.41
2,0.123,0.29214123296789146,273.943,0.82
3,0.185,0.43798325690981965,275.089,1.22
4,0.247,0.5840211896840728,277.954,1.63
5,0.309,0.7300916038416005,271.33,2.04
6,0.370,0.8761454882989849,291.114,2.45
7,0.432,1.0222698600010987,290.577,2.86
8,0.494,1.1681233881743824,283.955,3.26
9,0.556,1.314100199122325,287.645,3.67
10,0.617,1.4603518411670526,402.453,4.08
11,0.679,1.6062218350319273,398.677,4.49
12,0.741,1.752408009948976,420.992,4.90
13,0.803,1.898212448594729,402.392,5.30
14,0.864,2.0442664943690683,396.141,5.71
15,0.926,2.1904642392272318,757.989,6.12
16,0.988,2.336404948491022,757.86,6.53
17,1.050,2.482536488486456,715.292,6.94
18,1.111,2.6282588818455452,737.531,7.35
19,1.173,2.7744348223256803,722.959,7.75
20,1.235,2.9205272069725132,722.849,8.16
21,1.297,3.066503356158824,719.242,8.57
22,1.358,3.212716620452748,700.631,8.98
23,1.420,3.3583549296245225,681.688,9.39
