conf,target_ca_rmsd,max_atom_disp,siip_pocket,siip_volume
0,0.000,0.000,4,251.043
1,0.129,0.855,4,274.21
2,0.259,1.711,5,277.393
3,0.388,2.566,5,291.874
4,0.518,3.421,5,280.728
5,0.647,4.277,3,395.486
6,0.776,5.132,7,230.542
7,0.906,5.987,9,343.321
8,1.035,6.843,5,734.419
9,1.165,7.698,5,745.961
10,1.294,8.553,6,723.899
11,1.424,9.409,4,685.598
12,1.553,10.264,4,377.44
13,1.682,11.120,2,399.35
14,1.812,11.975,2,645.339
15,1.941,12.830,3,737.425
16,2.071,13.686,2,838.652
17,2.200,14.541,3,781.482
