conf,switch2_a3_dist_res66_95,switch2_rmsd_from_closed
0,20.025583512097718,
1,19.32896650108329,0.3061844487668609
2,18.652777836022175,0.6120893181009885
3,17.99576419605458,0.9183122653360709
4,17.362080635684194,1.2242136591842674
5,16.75243439026102,1.5304543170792992
6,16.17138849944556,1.8363916838917196
7,15.622594342810034,2.1425064566219314
8,15.107188785475607,2.4486831154724777
9,14.632176153942378,2.754823436568425
10,14.198170762460917,3.060782307406611
11,13.809820056756713,3.3668968155657306
