conf,openness,fp_detected,fp_nfrag,fp_recall,fp_mcc,p2_detected,p2_nfrag,p2_recall,p2_mcc
0,0.0,1,3,0.2,0.2374781215687357,1,1,0.15,0.039761336798615134
1,0.14613150470267053,1,4,0.3,0.34702044047787817,1,2,0.4,0.26745913993429266
2,0.29214123296789146,1,4,0.25,0.29439815585406465,1,2,0.45,0.3085149183364252
3,0.43798325690981965,1,3,0.15,0.19785524764157883,1,2,0.45,0.29739621110446074
4,0.5840211896840728,1,4,0.25,0.3192983147142665,1,2,0.45,0.29739621110446074
5,0.7300916038416005,1,4,0.25,0.3192983147142665,1,2,0.45,0.29739621110446074
6,0.8761454882989849,1,4,0.25,0.3192983147142665,1,2,0.45,0.3085149183364252
7,1.0222698600010987,1,4,0.2,0.29003780620185987,1,2,0.45,0.29739621110446074
8,1.1681233881743824,1,4,0.2,0.29003780620185987,1,1,0.2,0.07201152276553748
9,1.314100199122325,1,4,0.2,0.29003780620185987,1,1,0.2,0.07201152276553748
10,1.4603518411670526,1,4,0.25,0.3192983147142665,1,2,0.45,0.28677245827028863
11,1.6062218350319273,1,4,0.25,0.3192983147142665,1,2,0.45,0.3085149183364252
12,1.752408009948976,1,4,0.25,0.29439815585406465,1,2,0.5,0.34841397116840594
13,1.898212448594729,1,4,0.25,0.29439815585406465,1,2,0.5,0.34841397116840594
14,2.0442664943690683,1,4,0.25,0.3192983147142665,1,2,0.4,0.27878530406048785
15,2.1904642392272318,1,3,0.25,0.29439815585406465,1,2,0.4,0.27878530406048785
16,2.336404948491022,1,3,0.25,0.29439815585406465,1,1,0.15,0.047980526237436254
17,2.482536488486456,1,3,0.25,0.29439815585406465,1,1,0.15,0.047980526237436254
18,2.6282588818455452,1,3,0.25,0.3192983147142665,1,1,0.2,0.09798329425373015
19,2.7744348223256803,1,3,0.25,0.3192983147142665,1,1,0.2,0.09798329425373015
20,2.9205272069725132,1,3,0.25,0.3192983147142665,1,2,0.55,0.4121961613839123
21,3.066503356158824,1,3,0.25,0.3192983147142665,1,2,0.55,0.4121961613839123
22,3.212716620452748,1,2,0.2,0.36744723471607343,1,2,0.55,0.4121961613839123
23,3.3583549296245225,1,3,0.35,0.5211387993118034,1,2,0.55,0.4121961613839123
