conf,openness,n_fragments,dca,union_precision,union_recall,union_f1,union_mcc,best_single_recall
0,0.0,3,6.88,0.300,0.150,0.200,0.139,0.100
1,0.14613150470267053,4,8.19,0.417,0.250,0.312,0.253,0.150
2,0.29214123296789146,4,8.24,0.364,0.200,0.258,0.198,0.100
3,0.43798325690981965,3,8.29,0.250,0.100,0.143,0.089,0.050
4,0.5840211896840728,4,8.33,0.400,0.200,0.267,0.217,0.100
5,0.7300916038416005,4,8.31,0.400,0.200,0.267,0.217,0.100
6,0.8761454882989849,4,8.29,0.400,0.200,0.267,0.217,0.100
7,1.0222698600010987,4,8.41,0.375,0.150,0.214,0.175,0.050
8,1.1681233881743824,5,8.46,0.444,0.200,0.276,0.237,0.050
9,1.314100199122325,5,8.51,0.444,0.200,0.276,0.237,0.050
10,1.4603518411670526,4,8.48,0.556,0.250,0.345,0.319,0.100
11,1.6062218350319273,4,8.53,0.556,0.250,0.345,0.319,0.100
12,1.752408009948976,4,8.59,0.500,0.250,0.333,0.294,0.100
13,1.898212448594729,4,8.61,0.500,0.250,0.333,0.294,0.100
14,2.0442664943690683,4,8.66,0.556,0.250,0.345,0.319,0.100
15,2.1904642392272318,3,6.19,0.500,0.250,0.333,0.294,0.150
16,2.336404948491022,3,6.06,0.500,0.250,0.333,0.294,0.150
17,2.482536488486456,3,6.13,0.500,0.250,0.333,0.294,0.150
18,2.6282588818455452,3,6.11,0.556,0.250,0.345,0.319,0.150
19,2.7744348223256803,3,5.94,0.556,0.250,0.345,0.319,0.150
20,2.9205272069725132,3,6.02,0.556,0.250,0.345,0.319,0.150
21,3.066503356158824,3,6.14,0.556,0.250,0.345,0.319,0.150
22,3.212716620452748,3,6.13,0.500,0.200,0.286,0.262,0.150
23,3.3583549296245225,4,6.35,0.636,0.350,0.452,0.422,0.150
