conf,openness,n_fragments,top_rank,dca,union_precision,union_recall,union_f1,union_mcc,best_single_recall
0,0.0,,,,,,,,
1,0.14613150470267053,1,2,4.36,1.000,0.300,0.462,0.523,0.300
2,0.29214123296789146,1,2,4.38,1.000,0.300,0.462,0.523,0.300
3,0.43798325690981965,1,2,4.39,1.000,0.300,0.462,0.523,0.300
4,0.5840211896840728,1,3,4.34,1.000,0.350,0.519,0.567,0.350
5,0.7300916038416005,1,2,4.35,1.000,0.350,0.519,0.567,0.350
6,0.8761454882989849,1,2,4.37,1.000,0.400,0.571,0.608,0.400
7,1.0222698600010987,1,2,4.46,1.000,0.300,0.462,0.523,0.300
8,1.1681233881743824,,,,,,,,
9,1.314100199122325,,,,,,,,
10,1.4603518411670526,1,3,4.51,1.000,0.300,0.462,0.523,0.300
11,1.6062218350319273,1,3,4.53,1.000,0.300,0.462,0.523,0.300
12,1.752408009948976,1,3,4.03,1.000,0.350,0.519,0.567,0.350
13,1.898212448594729,1,3,3.77,1.000,0.350,0.519,0.567,0.350
14,2.0442664943690683,1,3,3.91,1.000,0.350,0.519,0.567,0.350
15,2.1904642392272318,1,3,3.81,1.000,0.350,0.519,0.567,0.350
16,2.336404948491022,,,,,,,,
17,2.482536488486456,,,,,,,,
18,2.6282588818455452,,,,,,,,
19,2.7744348223256803,,,,,,,,
20,2.9205272069725132,1,2,3.93,1.000,0.400,0.571,0.608,0.400
21,3.066503356158824,1,2,3.42,1.000,0.400,0.571,0.608,0.400
22,3.212716620452748,1,2,3.48,1.000,0.450,0.621,0.647,0.450
23,3.3583549296245225,1,2,3.69,1.000,0.450,0.621,0.647,0.450
