conf,openness,detected,maxprob,recall,mcc,f1,precision,npred
0,0.0,0,0.909,0.000,-0.029,0.000,0.000,1
1,0.14613150470267053,0,0.908,0.000,-0.029,0.000,0.000,1
2,0.29214123296789146,0,0.910,0.000,-0.029,0.000,0.000,1
3,0.43798325690981965,0,0.901,0.000,-0.029,0.000,0.000,1
4,0.5840211896840728,0,0.901,0.000,-0.029,0.000,0.000,1
5,0.7300916038416005,0,0.899,0.000,0.000,0.000,0.000,0
6,0.8761454882989849,0,0.899,0.000,0.000,0.000,0.000,0
7,1.0222698600010987,0,0.898,0.000,0.000,0.000,0.000,0
8,1.1681233881743824,0,0.896,0.000,0.000,0.000,0.000,0
9,1.314100199122325,0,0.907,0.000,-0.029,0.000,0.000,1
10,1.4603518411670526,0,0.907,0.000,-0.029,0.000,0.000,1
11,1.6062218350319273,0,0.907,0.000,-0.029,0.000,0.000,1
12,1.752408009948976,0,0.910,0.000,-0.029,0.000,0.000,1
13,1.898212448594729,0,0.907,0.000,-0.029,0.000,0.000,1
14,2.0442664943690683,0,0.908,0.000,-0.029,0.000,0.000,1
15,2.1904642392272318,0,0.908,0.000,-0.029,0.000,0.000,1
16,2.336404948491022,0,0.906,0.000,-0.029,0.000,0.000,1
17,2.482536488486456,0,0.906,0.000,-0.029,0.000,0.000,1
18,2.6282588818455452,0,0.905,0.000,-0.029,0.000,0.000,1
19,2.7744348223256803,0,0.905,0.000,-0.029,0.000,0.000,1
20,2.9205272069725132,0,0.907,0.000,-0.029,0.000,0.000,1
21,3.066503356158824,0,0.886,0.000,0.000,0.000,0.000,0
22,3.212716620452748,0,0.886,0.000,0.000,0.000,0.000,0
23,3.3583549296245225,0,0.886,0.000,0.000,0.000,0.000,0
